athlete_id,athlete_name,event_date,event_name,race_category,distance,finish_status,finish_position,field_size,finish_pct,total_time,swim_time,bike_time,run_time
6,Mathis Beaulieu,2025-05-24,2025 World Triathlon Cup Samarkand,other,standard,FINISH,3.0,60,0.05,01:47:08,00:18:18,00:56:34,00:31:09
6,Mathis Beaulieu,2025-07-19,2025 Americas Triathlon Cup Montreal,continental_cup,sprint,FINISH,1.0,70,0.014285714285714285,00:51:30,00:09:12,00:26:56,00:14:21
6,Mathis Beaulieu,2025-08-31,2025 World Triathlon Championship Series French Riviera,championship,sprint,FINISH,13.0,54,0.24074074074074073,00:52:16,00:09:29,00:27:10,00:14:06
6,Mathis Beaulieu,2025-10-15,2025 World Triathlon Championship Finals Wollongong,championship,standard,DNF,,59,,DNF,00:17:07,00:00:00,00:00:00
11,Lucas Brighty,2024-03-08,2024 Americas Triathlon Championships Miami,championship,sprint,FINISH,30.0,56,0.5357142857142857,00:53:29,00:10:04,00:24:26,00:17:52
12,Britney Brown,2024-08-10,2024 Americas Triathlon Cup and Central America Caribbean Championships Punta Cana,championship,sprint,FINISH,7.0,27,0.25925925925925924,01:03:21,00:09:51,00:31:58,00:20:08
12,Britney Brown,2024-10-17,2024 World Triathlon Championship Finals Torremolinos-Andalucia,championship,sprint,FINISH,40.0,68,0.5882352941176471,01:07:09,00:11:26,00:34:24,00:19:56
12,Britney Brown,2025-03-22,2025 Americas Triathlon Cup La Paz,continental_cup,sprint,FINISH,17.0,51,0.3333333333333333,01:02:48,00:11:21,00:31:08,00:19:21
12,Britney Brown,2025-03-28,2025 Americas Triathlon Cup Miami,continental_cup,sprint,FINISH,35.0,66,0.5303030303030303,00:58:40,00:09:48,00:27:44,00:19:53
12,Britney Brown,2025-07-12,2025 Americas Triathlon Cup Magog,continental_cup,sprint,FINISH,11.0,48,0.22916666666666666,01:05:06,00:09:44,00:34:14,00:20:18
12,Britney Brown,2025-07-19,2025 Americas Triathlon Cup Montreal,continental_cup,sprint,FINISH,15.0,57,0.2631578947368421,00:59:23,00:09:55,00:29:36,00:18:55
