athlete_id,athlete_name,event_date,event_name,race_category,distance,finish_status,finish_position,field_size,finish_pct,total_time,swim_time,bike_time,run_time
70,Aaron Tate,2024-08-10,2024 Americas Triathlon Cup and Central America Caribbean Championships Punta Cana,championship,sprint,FINISH,2.0,66,0.030303030303030304,00:55:16,00:09:14,00:29:54,00:14:55
70,Aaron Tate,2024-09-14,2024 World Triathlon Cup Valencia,other,sprint,FINISH,7.0,65,0.1076923076923077,00:50:12,00:09:14,00:25:36,00:14:25
70,Aaron Tate,2024-10-17,2024 World Triathlon Championship Finals Torremolinos-Andalucia,championship,sprint,FINISH,2.0,71,0.028169014084507043,00:55:11,00:10:18,00:28:29,00:14:45
70,Aaron Tate,2024-11-09,2024 World Triathlon Cup Miyazaki,other,sprint,DNF,,42,,DNF,00:08:51,00:00:00,00:00:00
70,Aaron Tate,2025-02-23,2025 World Triathlon Cup Napier,other,sprint,FINISH,5.0,35,0.14285714285714285,00:50:36,00:08:44,00:26:26,00:14:36
70,Aaron Tate,2025-03-22,2025 Americas Triathlon Cup La Paz,continental_cup,sprint,FINISH,1.0,69,0.014492753623188406,00:53:13,00:11:02,00:27:32,00:14:11
70,Aaron Tate,2025-03-28,2025 Americas Triathlon Cup Miami,continental_cup,sprint,FINISH,1.0,58,0.017241379310344827,00:49:54,00:08:45,00:25:24,00:14:53
70,Aaron Tate,2025-05-10,2025 World Triathlon Cup Chengdu,other,standard,FINISH,1.0,56,0.017857142857142856,01:39:42,00:18:50,00:49:44,00:30:02
70,Aaron Tate,2025-05-24,2025 World Triathlon Cup Samarkand,other,standard,FINISH,23.0,60,0.38333333333333336,01:50:12,00:18:58,00:56:05,00:34:12
70,Aaron Tate,2025-07-12,2025 World Triathlon Championship Series Hamburg,championship,sprint,DNF,,55,,DNF,00:09:08,00:00:00,00:00:00
70,Aaron Tate,2025-08-09,2025 Americas Triathlon Cup Kelowna,continental_cup,sprint,FINISH,2.0,63,0.031746031746031744,00:53:27,00:09:52,00:27:55,00:14:38
70,Aaron Tate,2025-10-15,2025 World Triathlon Championship Finals Wollongong,championship,standard,LAP,,52,,LAP,00:19:40,00:00:00,00:00:00
70,Aaron Tate,2025-10-15,2025 World Triathlon Championship Finals Wollongong,championship,standard,FINISH,8.0,59,0.13559322033898305,01:45:40,00:17:14,00:57:06,00:30:13
70,Aaron Tate,2025-11-02,2025 World Triathlon Cup Vina del Mar,other,sprint,FINISH,5.0,65,0.07692307692307693,00:49:52,00:08:39,00:25:39,00:14:16
70,Aaron Tate,2025-11-09,2025 World Triathlon Cup San Pedro de la Paz,other,sprint,FINISH,8.0,66,0.12121212121212122,00:55:05,00:08:43,00:30:36,00:14:27
77,Reese Vannerson,2024-03-08,2024 Americas Triathlon Championships Miami,championship,sprint,FINISH,1.0,56,0.017857142857142856,00:50:42,00:09:33,00:24:54,00:15:11
77,Reese Vannerson,2024-03-17,2024 Americas Triathlon Cup Barbados,continental_cup,sprint,FINISH,1.0,23,0.043478260869565216,00:55:17,00:09:32,00:29:28,00:15:49
77,Reese Vannerson,2024-05-04,2024 Americas Triathlon Cup Calima,continental_cup,sprint,FINISH,6.0,33,0.18181818181818182,00:58:51,00:09:41,00:30:10,00:15:26
77,Reese Vannerson,2024-05-18,2024 World Triathlon Cup Huatulco,other,sprint,FINISH,11.0,52,0.21153846153846154,00:58:49,00:09:34,00:32:28,00:15:24
77,Reese Vannerson,2024-08-10,2024 Americas Triathlon Cup and Central America Caribbean Championships Punta Cana,championship,sprint,FINISH,2.0,66,0.030303030303030304,00:55:16,00:09:14,00:29:54,00:14:55
77,Reese Vannerson,2024-09-14,2024 World Triathlon Cup Valencia,other,sprint,FINISH,7.0,65,0.1076923076923077,00:50:12,00:09:14,00:25:36,00:14:25
77,Reese Vannerson,2024-10-17,2024 World Triathlon Championship Finals Torremolinos-Andalucia,championship,sprint,FINISH,2.0,71,0.028169014084507043,00:55:11,00:10:18,00:28:29,00:14:45
77,Reese Vannerson,2024-11-09,2024 World Triathlon Cup Miyazaki,other,sprint,DNF,,42,,DNF,00:08:51,00:00:00,00:00:00
77,Reese Vannerson,2025-02-23,2025 World Triathlon Cup Napier,other,sprint,FINISH,5.0,35,0.14285714285714285,00:50:36,00:08:44,00:26:26,00:14:36
77,Reese Vannerson,2025-03-22,2025 Americas Triathlon Cup La Paz,continental_cup,sprint,FINISH,1.0,69,0.014492753623188406,00:53:13,00:11:02,00:27:32,00:14:11
77,Reese Vannerson,2025-03-28,2025 Americas Triathlon Cup Miami,continental_cup,sprint,FINISH,1.0,58,0.017241379310344827,00:49:54,00:08:45,00:25:24,00:14:53
77,Reese Vannerson,2025-05-10,2025 World Triathlon Cup Chengdu,other,standard,FINISH,1.0,56,0.017857142857142856,01:39:42,00:18:50,00:49:44,00:30:02
77,Reese Vannerson,2025-05-24,2025 World Triathlon Cup Samarkand,other,standard,FINISH,23.0,60,0.38333333333333336,01:50:12,00:18:58,00:56:05,00:34:12
77,Reese Vannerson,2025-07-12,2025 World Triathlon Championship Series Hamburg,championship,sprint,DNF,,55,,DNF,00:09:08,00:00:00,00:00:00
77,Reese Vannerson,2025-08-09,2025 Americas Triathlon Cup Kelowna,continental_cup,sprint,FINISH,2.0,63,0.031746031746031744,00:53:27,00:09:52,00:27:55,00:14:38
77,Reese Vannerson,2025-10-15,2025 World Triathlon Championship Finals Wollongong,championship,standard,FINISH,8.0,59,0.13559322033898305,01:45:40,00:17:14,00:57:06,00:30:13
77,Reese Vannerson,2025-10-15,2025 World Triathlon Championship Finals Wollongong,championship,standard,LAP,,52,,LAP,00:19:40,00:00:00,00:00:00
77,Reese Vannerson,2025-11-02,2025 World Triathlon Cup Vina del Mar,other,sprint,FINISH,5.0,65,0.07692307692307693,00:49:52,00:08:39,00:25:39,00:14:16
77,Reese Vannerson,2025-11-09,2025 World Triathlon Cup San Pedro de la Paz,other,sprint,FINISH,8.0,66,0.12121212121212122,00:55:05,00:08:43,00:30:36,00:14:27
95,Blake Harris,2024-02-25,2024 Americas Triathlon Cup La Habana,continental_cup,standard,FINISH,14.0,33,0.42424242424242425,01:48:48,00:18:50,00:55:53,00:32:54
95,Blake Harris,2024-03-08,2024 Americas Triathlon Championships Miami,championship,standard,FINISH,14.0,38,0.3684210526315789,01:53:47,00:19:51,00:54:17,00:38:29
95,Blake Harris,2024-03-17,2024 Americas Triathlon Cup Barbados,continental_cup,sprint,FINISH,10.0,23,0.43478260869565216,00:57:43,00:09:41,00:29:58,00:17:23
95,Blake Harris,2024-04-14,2024 Americas Triathlon Cup Salinas,continental_cup,sprint,FINISH,9.0,23,0.391304347826087,00:52:30,00:07:47,00:26:55,00:16:14
95,Blake Harris,2024-05-04,2024 Americas Triathlon Cup Calima,continental_cup,sprint,FINISH,10.0,33,0.30303030303030304,00:59:18,00:09:56,00:29:52,00:15:57
95,Blake Harris,2024-07-13,2024 Americas Triathlon Cup Magog,continental_cup,sprint,FINISH,11.0,64,0.171875,00:52:35,00:09:10,00:26:26,00:16:28
95,Blake Harris,2024-08-10,2024 Americas Triathlon Cup and Central America Caribbean Championships Punta Cana,championship,sprint,FINISH,5.0,66,0.07575757575757576,00:55:36,00:09:32,00:29:36,00:15:12
95,Blake Harris,2024-08-24,2024 Americas Triathlon Cup Edmonton,continental_cup,sprint,FINISH,8.0,35,0.22857142857142856,00:51:08,00:07:40,00:25:22,00:16:17
95,Blake Harris,2024-10-05,2024 World Triathlon Cup Rome,other,sprint,FINISH,44.0,62,0.7096774193548387,00:58:56,00:09:38,00:31:30,00:16:08
95,Blake Harris,2024-10-26,2024 World Triathlon Cup Tongyeong,other,standard,FINISH,30.0,49,0.6122448979591837,01:51:35,00:18:05,00:56:21,00:36:09
95,Blake Harris,2024-11-09,2024 World Triathlon Cup Miyazaki,other,sprint,FINISH,25.0,42,0.5952380952380952,00:56:37,00:09:11,00:29:36,00:16:30
